gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
912708785	StillImage	image/jpeg	http://www.kew.org/herbcatimg/708415.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708698	StillImage	image/jpeg	http://www.kew.org/herbcatimg/577622.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708798	StillImage	image/jpeg	http://www.kew.org/herbcatimg/708423.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708771	StillImage	image/jpeg	http://www.kew.org/herbcatimg/708422.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708792	StillImage	image/jpeg	http://www.kew.org/herbcatimg/620111.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708796	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622873.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708660	StillImage	image/jpeg	http://www.kew.org/herbcatimg/577608.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708797	StillImage	image/jpeg	http://www.kew.org/herbcatimg/645741.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708782	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622870.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708781	StillImage	image/jpeg	http://www.kew.org/herbcatimg/645744.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708770	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622869.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710291	StillImage	image/jpeg	http://www.kew.org/herbcatimg/614109.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710626	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637510.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710609	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637516.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710280	StillImage	image/jpeg	http://www.kew.org/herbcatimg/614110.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710551	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637523.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710275	StillImage	image/jpeg	http://www.kew.org/herbcatimg/614108.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710616	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637518.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710630	StillImage	image/jpeg	http://www.kew.org/herbcatimg/637507.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912710266	StillImage	image/jpeg	http://www.kew.org/herbcatimg/614111.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708793	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622872.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708664	StillImage	image/jpeg	http://www.kew.org/herbcatimg/577587.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711316	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622734.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711307	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622731.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912708769	StillImage	image/jpeg	http://www.kew.org/herbcatimg/708420.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711281	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622732.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711283	StillImage	image/jpeg	http://www.kew.org/herbcatimg/622733.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711314	StillImage	image/jpeg	http://www.kew.org/herbcatimg/671004.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912709566	StillImage	image/jpeg	http://www.kew.org/herbcatimg/692388.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912709553	StillImage	image/jpeg	http://www.kew.org/herbcatimg/658882.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711690	StillImage	image/jpeg	http://www.kew.org/herbcatimg/652383.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711728	StillImage	image/jpeg	http://www.kew.org/herbcatimg/652404.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711718	StillImage	image/jpeg	http://www.kew.org/herbcatimg/652408.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711297	StillImage	image/jpeg	http://www.kew.org/herbcatimg/671006.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711706	StillImage	image/jpeg	http://www.kew.org/herbcatimg/652403.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912711738	StillImage	image/jpeg	http://www.kew.org/herbcatimg/652409.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
924811663	StillImage	image/jpeg	http://www.kew.org/herbcatimg/662074.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
924811701	StillImage	image/jpeg	http://www.kew.org/herbcatimg/662073.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
